🕘️更新时间,#genre#
海南卫视,http://139.129.231.228:50060/rtp/239.21.2.14:5002
海南卫视,http://139.196.151.191:2051/rtp/239.45.1.81:5140
海南卫视,http://123.157.31.182:7912/rtp/233.50.201.55:5140
海南卫视,http://60.2.190.206:4000/rtp/239.253.93.155:6323
河北卫视,http://120.55.49.231:3095/rtp/233.50.201.140:5140
河北卫视,http://139.129.231.228:50060/rtp/239.21.1.168:5002
河北卫视,http://139.196.151.191:2051/rtp/239.45.1.44:5140
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://123.157.31.182:7912/rtp/233.50.201.140:5140
河北卫视,http://116.128.242.83:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://60.2.190.206:4000/rtp/239.253.92.154:6011
河南卫视,http://120.55.49.231:3095/rtp/233.50.201.144:5140
河南卫视,http://139.129.231.228:50060/rtp/239.21.2.37:5002
河南卫视,http://139.196.151.191:2051/rtp/239.45.0.3:5140
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://123.157.31.182:7912/rtp/233.50.201.144:5140
河南卫视,http://60.2.190.206:4000/rtp/239.253.92.137:6144
吉林卫视,http://120.55.49.231:3095/rtp/233.50.201.48:5140
吉林卫视,http://139.129.231.228:50060/rtp/239.21.2.49:5002
吉林卫视,http://139.196.151.191:2051/rtp/239.45.0.6:5140
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://123.157.31.182:7912/rtp/233.50.201.48:5140
吉林卫视,http://60.2.190.206:4000/rtp/239.253.92.202:6147
江苏卫视,http://120.55.49.231:3095/rtp/233.50.201.106:5140
江苏卫视,http://139.129.231.228:50060/rtp/239.21.1.89:5002
江苏卫视,http://139.196.151.191:2051/rtp/239.45.3.177:5140
江苏卫视,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.157.31.182:7912/rtp/233.50.201.106:5140
江苏卫视,http://116.128.242.83:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://60.2.190.206:4000/rtp/239.253.92.88:8018
江西卫视,http://120.55.49.231:3095/rtp/233.50.201.145:5140
江西卫视,http://139.129.231.228:50060/rtp/239.21.1.167:5002
江西卫视,http://139.196.151.191:2051/rtp/239.45.1.122:5140
